Date,SPY_hedged_1PCT,EQ_WGT_1PCT
8/24/15,-0.000639824,-0.001188432
8/25/15,4.6398e-05,-3.2389e-05
8/26/15,4.508e-05,0.000162576
8/27/15,7.2761e-05,0.000368418
8/28/15,0.000167404,0.000441105
8/31/15,2.689e-05,0.000811556
9/1/15,3.427e-06,-0.000133074
9/2/15,0.001761296,0.000666283
9/3/15,0.000468203,0.000604677
9/4/15,-0.000225929,-0.000520075
9/8/15,0.000266791,0.001168283
9/9/15,-0.000331907,-8.1938e-05
9/10/15,0.000543864,0.000580258
9/11/15,0.000471103,0.000536381
9/14/15,0.000506692,0.000592173
9/15/15,-0.000208793,0.00028896
9/16/15,-0.000162131,-9.6496e-05
9/17/15,0.000687541,0.00050204
9/18/15,-0.000968831,-0.000359207
9/21/15,0.001361373,0.001272526
9/22/15,-0.0010814,-0.00063363
9/23/15,0.000794837,7.3724e-05
9/24/15,-8.4361e-05,-0.000237926
9/25/15,0.000903979,0.000608784
9/28/15,-0.0019055,-0.00145277
9/29/15,0.001004948,0.000696009
9/30/15,-0.000670669,-6.405e-06
10/1/15,0.001622364,0.000655873
10/2/15,-7.6716e-05,-0.000313257
10/5/15,-0.000120214,-0.000884508
10/6/15,0.00025651,-5.69e-07
10/7/15,0.000159231,-0.000103592
10/8/15,-2.0563e-05,1.1203e-05
10/9/15,0.000184276,0.000199946
10/12/15,0.000458185,0.00072732
10/13/15,-9.596e-05,8.2101e-05
10/14/15,0.00017584,0.000132179
10/15/15,-0.000244646,-0.000129638
10/16/15,0.00018243,0.000270397
10/19/15,0.000234629,0.000381695
10/20/15,-5.1935e-05,-5.693e-06
10/21/15,-2.8208e-05,0.000334565
10/22/15,-7.3552e-05,-0.000926006
10/23/15,-3.8753e-05,9.1027e-05
10/26/15,2.4517e-05,1.1508e-05
10/27/15,3.954e-06,2.5618e-05
10/28/15,1.6081e-05,1.9275e-05
10/29/15,-4.0071e-05,-0.000144968
10/30/15,-3.164e-06,0.000124615
11/2/15,0.000180849,2.4134e-05
11/3/15,-0.000308181,-0.000136062
11/4/15,-0.000138932,1.3582e-05
11/5/15,0.000319517,7.6835e-05
11/6/15,0.00069835,4.5056e-05
11/9/15,-0.000459503,-0.000111095
11/10/15,0.000596589,0.000312972
11/11/15,0.000125487,0.000202691
11/12/15,-0.001312075,-0.000920353
11/13/15,-0.000502738,-0.000555128
11/16/15,0.000380415,0.000575216
11/17/15,-2.5836e-05,3.619e-06
11/18/15,-0.000344034,9.0539e-05
11/19/15,0.000353261,0.000190959
11/20/15,0.000312926,0.000397106
11/23/15,0.000840708,0.000496835
11/24/15,0.000273118,4.8329e-05
11/25/15,0.000268637,0.000272084
11/27/15,-0.000204575,2.2589e-05
11/30/15,0.001281494,0.000511719
12/1/15,-0.000145786,-3.365e-05
12/2/15,-0.001154953,-0.000394585
12/3/15,-0.000680687,-0.000628364
12/4/15,-0.000861008,-0.001244284
12/7/15,0.001913673,1.9925e-05
12/8/15,-0.001462342,-0.000533616
12/9/15,-0.000621107,-0.000545368
12/10/15,0.000509592,0.000237479
12/11/15,-0.001472887,-0.001788555
12/14/15,0.000518556,0.000122155
12/15/15,0.000201675,0.00049956
12/16/15,9.491e-06,0.000590709
12/17/15,-0.000145786,-0.000551508
12/18/15,-0.001330001,-0.00038385
12/21/15,-0.003609326,0.000109651
12/22/15,0.005609732,0.000816334
12/23/15,-0.000237001,4.1823e-05
12/24/15,0.000502211,0.000359553
12/28/15,-0.000189548,-0.000485897
12/29/15,0.002279588,0.000854559
12/30/15,-0.004973335,-0.000117967
12/31/15,0.003653615,7.4538e-05
1/4/16,-0.000894489,-0.000635155
1/5/16,0.000569436,0.000284975
1/6/16,-0.000453176,-0.000129678
1/7/16,-0.000963295,-0.001347978
1/8/16,-0.000308972,-9.794e-05
1/11/16,0.000564163,0.000883572
1/12/16,0.000108615,0.000418231
1/13/16,-0.000464775,-0.000931475
1/14/16,7.0389e-05,1.7547e-05
1/15/16,-0.000286036,-0.00088465
1/19/16,0.000128387,0.00071264
1/20/16,-6.5643e-05,-0.000824142
1/21/16,5.4571e-05,0.000528167
1/22/16,6.0898e-05,0.000392044
1/25/16,-1.2918e-05,-0.000371447
1/26/16,1.055e-06,0.000111623
1/27/16,-9.227e-06,5.1013e-05
1/28/16,-2.689e-05,1.9824e-05
1/29/16,2.5308e-05,-7.0552e-05
2/1/16,3.0581e-05,0.000214178
2/2/16,-7.91e-07,-0.000399282
2/3/16,0.000136032,-0.000337838
2/4/16,7.0916e-05,0.00030793
2/5/16,-0.000793783,-0.000408716
2/8/16,-0.000267318,-0.000916876
2/9/16,-5.6153e-05,-0.000122745
2/10/16,0.000372769,0.000651075
2/11/16,-0.000205893,-0.00095075
2/12/16,0.000751602,0.001243918
2/16/16,0.000765838,0.001131136
2/17/16,-0.000590789,-2.8363e-05
2/18/16,0.000639033,0.000387571
2/19/16,0.000760566,0.000762922
2/22/16,-0.000138141,0.000249983
2/23/16,-0.000445531,-0.000243619
2/24/16,7.487e-05,0.000185652
2/25/16,0.000154749,0.000107781
2/26/16,0.000315562,0.000134172
2/29/16,0.000657224,0.000684887
3/1/16,-0.000835963,-0.001017927
3/2/16,-4.482e-06,0.000221803
3/3/16,-7.909e-06,0.000175893
3/4/16,-4.2444e-05,-0.000392491
3/7/16,0.00021222,0.000294043
3/8/16,-0.000345879,-0.000505578
3/9/16,7.8825e-05,0.000188885
3/10/16,0.000434722,0.000255229
3/11/16,-0.000491402,-9.0315e-05
3/14/16,0.000394123,0.000455094
3/15/16,0.00014025,0.000423985
3/16/16,0.000496674,0.000137445
3/17/16,2.399e-05,-5.6788e-05
3/18/16,-0.000591053,-0.000385049
3/21/16,0.000254664,0.000323098
3/22/16,7.777e-05,0.00032019
3/23/16,0.000179794,-0.000370797
3/24/16,0.000399396,0.000295629
3/28/16,0.000297372,0.000788276
3/29/16,-9.4115e-05,-0.000389462
3/30/16,3.8226e-05,0.000180529
3/31/16,2.2936e-05,5.0708e-05
4/1/16,9.491e-06,-0.000111196
4/4/16,8.963e-06,0.000342067
4/5/16,-0.000472684,-0.000243579
4/6/16,8.7524e-05,2.8343e-05
4/7/16,-0.000874189,-0.00045546
4/8/16,0.00050432,0.000413169
4/11/16,0.000159495,1.7201e-05
4/12/16,7.487e-05,-6.3274e-05
4/13/16,-0.000142359,-0.000294714
4/14/16,0.000153695,0.000519384
4/15/16,0.000131023,-0.000149034
4/18/16,0.000157386,0.000407598
4/19/16,-1.16e-05,-2.5395e-05
4/20/16,0.000112833,-0.000300285
4/21/16,0.000102815,-0.000219607
4/22/16,0.000524619,0.000250187
4/25/16,7.382e-06,0.000242582
4/26/16,2.7681e-05,-5.266e-06
4/27/16,0.000339025,0.000268709
4/28/16,-0.000666451,-0.000121789
4/29/16,0.000865226,0.000132077
5/2/16,0.000588417,0.000185713
5/3/16,0.000956705,-0.000310797
5/4/16,-5.4044e-05,3.4951e-05
5/5/16,0.000245965,0.000513121
5/6/16,0.000499311,0.000328872
5/9/16,0.000526464,0.000316063
5/10/16,-0.00035827,0.0001861
5/11/16,-0.000161867,7.2342e-05
5/12/16,0.000293418,0.000154707
5/13/16,-9.754e-06,-7.2789e-05
5/16/16,9.7279e-05,0.000369333
5/17/16,8.7261e-05,0.000209929
5/18/16,-0.000207475,-0.000901851
5/19/16,0.000243065,1.1264e-05
5/20/16,0.000545973,0.000756619
5/23/16,0.00037356,0.000583613
5/24/16,-0.000792201,-0.000371793
5/25/16,-0.000138668,4.4507e-05
5/26/16,0.000309235,0.000463267
5/27/16,0.000126541,0.000294816
5/31/16,0.000187703,0.000348065
6/1/16,0.000139986,0.00027428
6/2/16,9.491e-06,0.000392227
6/3/16,0.000372506,-0.000424107
6/6/16,-0.000147631,9.7411e-05
6/7/16,-0.000111778,4.9997e-05
6/8/16,-3.3217e-05,-0.000329218
6/9/16,-6.1952e-05,-0.000260292
6/10/16,-0.000667241,-0.000880421
6/13/16,-0.000685168,-0.000660163
6/14/16,0.000121269,-0.000120895
6/15/16,0.000271009,0.000373318
6/16/16,0.000426813,-7.0166e-05
6/17/16,5.2726e-05,0.00024486
6/20/16,0.000378306,0.000605775
6/21/16,-2.1354e-05,0.000100929
6/22/16,-0.001031838,-0.00098995
6/23/16,0.000924278,0.000671285
6/24/16,-0.003461694,-0.0044361
6/27/16,-0.000584199,-0.000401417
6/28/16,6.6434e-05,0.000149136
6/29/16,6.5116e-05,-0.000209583
6/30/16,0.000128387,-0.000139031
7/1/16,0.000959868,0.000146127
7/5/16,0.000173731,-0.00049283
7/6/16,2.7154e-05,0.000254273
7/7/16,0.000292099,0.000388445
7/8/16,-0.000533846,5.9593e-05
7/11/16,-5.8789e-05,8.5273e-05
7/12/16,-0.000203257,-0.000291176
7/13/16,0.000243065,0.000197628
7/14/16,-2.3726e-05,-3.2877e-05
7/15/16,0.000284454,0.000425043
7/18/16,3.9281e-05,0.0003404
7/19/16,7.3816e-05,0.000255087
7/20/16,1.9245e-05,-0.00015918
7/21/16,-6.8543e-05,-1.3379e-05
7/22/16,0.000162131,0.000424982
7/25/16,5.2989e-05,-5.7174e-05
7/26/16,3.9544e-05,0.00019773
7/27/16,0.000187176,-0.00010961
7/28/16,7.909e-06,0.000326717
7/29/16,0.000204048,0.000350383
8/1/16,8.0143e-05,-1.8523e-05
8/2/16,-3.3481e-05,-0.00012305
8/3/16,0.000274964,0.000281295
8/4/16,0.000227774,0.000266391
8/5/16,0.00023331,-0.000125347
8/8/16,0.000143413,0.000449055
8/9/16,6.7752e-05,0.000185571
8/10/16,-3.5853e-05,-2.4114e-05
8/11/16,4.3499e-05,-1.5168e-05
8/12/16,0.000252819,0.000273081
8/15/16,0.000123905,0.000187645
8/16/16,-0.000159231,-0.000187787
8/17/16,0.000125223,0.000169976
8/18/16,0.000315562,0.000293779
8/19/16,0.000231465,4.4324e-05
8/22/16,9.4115e-05,0.000199743
8/23/16,-8.4361e-05,7.466e-05
8/24/16,-0.000128387,-0.000201878
8/25/16,0.000115205,1.2037e-05
8/26/16,0.00064536,0.000417439
8/29/16,0.000359061,0.000503016
8/30/16,0.00031978,0.000100217
8/31/16,0.000224874,0.000132809
9/1/16,5.088e-05,7.6469e-05
9/2/16,0.000582881,0.000462942
9/6/16,0.000284191,0.000429373
9/7/16,0.000216438,0.00014328
