SPY
QQQ
GLD
XLK
IWM
EFA
XLF
TLT
DIA
IEF
LQD
XLE
SMH
XLC
XLY
XLI
XLU
EEM
SLV
HYG
XLP
GDX
ARKK
KWEB
XLB
